OAM,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
SM001,368,429,466,356,166,202,187,177,456,371,352,5
SM002,290,484,466,128,403,417,375,302,139,204,242,5
SM003,290,459,427,210,365,286,317,270,204,231,242,5
SM004,65,27,69,356,154,324,340,157,86,335,242,6
SM005,368,429,466,356,166,202,187,177,456,371,352,5
SM006,368,386,466,399,154,253,232,177,456,371,352,5
SM007,273,318,408,461,82,286,336,367,252,491,352,5
SM008,382,380,466,498,54,286,83,485,378,485,200,7
SM009,290,298,451,302,124,151,51,302,335,354,300,7
SM010,354,213,194,15,103,324,446,177,322,103,121,5
SM011,459,298,391,399,394,286,365,426,226,412,434,5
SM012,354,213,194,15,103,324,446,177,322,103,121,5
SM013,487,341,466,461,333,308,336,487,480,444,221,5
SM014,290,332,238,461,450,151,162,213,204,7,476,5
SM015,170,345,328,47,480,498,496,108,86,67,434,5
SM016,170,345,322,46,477,497,498,108,101,44,434,5
SM017,212,27,69,399,365,478,449,284,252,143,121,7
SM018,247,278,243,443,494,308,327,302,52,10,403,5
SM019,368,306,391,36,295,51,162,213,366,462,485,4
SM020,273,49,102,399,490,324,327,284,16,22,434,6
SM021,170,9,124,399,181,451,340,302,378,429,352,6
SM022,343,106,220,210,244,400,387,136,461,231,268,5
SM023,273,155,304,461,432,172,206,344,101,53,300,5
SM024,212,196,370,210,269,151,375,302,101,429,352,5
SM025,433,121,352,185,284,380,232,302,417,257,268,6
SM026,478,106,340,489,211,202,98,456,303,371,403,5
SM027,343,132,276,399,211,9,7,393,226,320,300,5
SM028,273,155,304,461,432,172,206,344,101,53,300,5
SM029,408,437,466,356,211,271,194,238,437,395,352,5
SM030,290,375,466,302,244,135,39,367,366,320,242,6
SM031,459,408,401,185,333,324,410,437,322,412,183,5
SM032,433,416,466,164,429,393,206,344,432,354,113,6
SM033,225,385,357,210,259,286,461,344,101,219,242,5
SM034,433,331,357,4,124,490,411,78,430,444,352,6
SM035,494,49,266,399,421,253,298,447,366,395,434,5
SM036,290,375,466,24,295,18,51,108,392,395,283,6
SM037,290,318,352,185,295,1,28,207,404,305,94,6
SM038,247,95,243,271,60,253,169,302,178,158,268,7
