ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
SM 001,7.4,0.7,0.0,1.9,0.076,11.0,34,0.9978,3.51,0.56,9.4,5
SM 002,7.8,0.88,0.0,2.6,0.098,25.0,67,0.9968,3.2,0.68,9.8,5
SM 003,7.8,0.76,0.04,2.3,0.092,15.0,54,0.997,3.26,0.65,9.8,5
SM 004,11.2,0.28,0.56,1.9,0.075,17.0,60,0.998,3.16,0.58,9.8,6
SM 005,7.4,0.7,0.0,1.9,0.076,11.0,34,0.9978,3.51,0.56,9.4,5
SM 006,7.4,0.66,0.0,1.8,0.075,13.0,40,0.9978,3.51,0.56,9.4,5
SM 007,7.9,0.6,0.06,1.6,0.069,15.0,59,0.9964,3.3,0.46,9.4,5
SM 008,7.3,0.65,0.0,1.2,0.065,15.0,21,0.9946,3.39,0.47,10.0,7
SM 009,7.8,0.58,0.02,2.0,0.073,9.0,18,0.9968,3.36,0.57,9.5,7
SM 010,7.5,0.5,0.36,6.1,0.071,17.0,102,0.9978,3.35,0.8,10.5,5
SM 011,6.7,0.58,0.08,1.8,0.0969999999999999,15.0,65,0.9959,3.28,0.54,9.2,5
SM 012,7.5,0.5,0.36,6.1,0.071,17.0,102,0.9978,3.35,0.8,10.5,5
SM 013,5.6,0.615,0.0,1.6,0.089,16.0,59,0.9943,3.58,0.52,9.9,5
SM 014,7.8,0.61,0.29,1.6,0.114,9.0,29,0.9974,3.26,1.56,9.1,5
SM 015,8.9,0.62,0.18,3.8,0.176,52.0,145,0.9986,3.16,0.88,9.2,5
SM 016,8.9,0.62,0.19,3.9,0.17,51.0,148,0.9986,3.17,0.93,9.2,5
SM 017,8.5,0.28,0.56,1.8,0.092,35.0,103,0.9969,3.3,0.75,10.5,7
SM 018,8.1,0.56,0.28,1.7,0.368,16.0,56,0.9968,3.11,1.28,9.3,5
SM 019,7.4,0.59,0.08,4.4,0.086,6.0,29,0.9974,3.38,0.5,9.0,4
SM 020,7.9,0.32,0.51,1.8,0.341,17.0,56,0.9969,3.04,1.08,9.2,6
SM 021,8.9,0.22,0.48,1.8,0.077,29.0,60,0.9968,3.39,0.53,9.4,6
SM 022,7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71,0.9982,3.52,0.65,9.7,5
SM 023,7.9,0.43,0.21,1.6,0.106,10.0,37,0.9966,3.17,0.91,9.5,5
SM 024,8.5,0.49,0.11,2.3,0.084,9.0,67,0.9968,3.17,0.53,9.4,5
SM 025,6.9,0.4,0.14,2.4,0.085,21.0,40,0.9968,3.43,0.63,9.7,6
SM 026,6.3,0.39,0.16,1.4,0.08,11.0,23,0.9955,3.34,0.56,9.3,5
SM 027,7.6,0.41,0.24,1.8,0.08,4.0,11,0.9962,3.28,0.59,9.5,5
SM 028,7.9,0.43,0.21,1.6,0.106,10.0,37,0.9966,3.17,0.91,9.5,5
SM 029,7.1,0.71,0.0,1.9,0.08,14.0,35,0.9972,3.47,0.55,9.4,5
SM 030,7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16,0.9964,3.38,0.59,9.8,6
SM 031,6.7,0.675,0.07,2.4,0.089,17.0,82,0.9958,3.35,0.54,10.1,5
SM 032,6.9,0.685,0.0,2.5,0.105,22.0,37,0.9966,3.46,0.57,10.6,6
